id,amount,category,date,type,description
100,48000.0,Зарплата,2025-05-05,доход,Зарплата май
101,11000.0,Продукты,2025-05-08,расход,Продукты на неделю
102,2200.0,Транспорт,2025-05-10,расход,Бензин
103,14500.0,Жилье,2025-05-15,расход,Аренда
104,3500.0,Развлечения,2025-05-20,расход,Кинотеатр
105,2500.0,Здоровье,2025-05-22,расход,Аптека
106,50000.0,Зарплата,2025-06-05,доход,Зарплата июнь
107,12000.0,Продукты,2025-06-10,расход,Продукты
108,2800.0,Транспорт,2025-06-12,расход,Такси
109,14800.0,Жилье,2025-06-15,расход,Аренда + коммуналка
110,6000.0,Развлечения,2025-06-18,расход,Ресторан
111,18000.0,Подарки,2025-06-25,расход,День рождения друга
112,52000.0,Зарплата,2025-07-05,доход,Зарплата июль
113,13000.0,Продукты,2025-07-08,расход,Продукты на неделю
114,3200.0,Транспорт,2025-07-12,расход,Бензин
115,15000.0,Жилье,2025-07-15,расход,Аренда
116,8500.0,Развлечения,2025-07-20,расход,Отдых на природе
117,35000.0,Фриланс,2025-07-25,доход,Разработка приложения
118,55000.0,Зарплата,2025-08-05,доход,Зарплата август
119,14000.0,Продукты,2025-08-10,расход,Продукты
120,3800.0,Транспорт,2025-08-12,расход,Бензин + мойка
121,15200.0,Жилье,2025-08-15,расход,Аренда
122,12000.0,Развлечения,2025-08-20,расход,Поездка на море
123,4500.0,Образование,2025-08-22,расход,Онлайн-курсы
124,25000.0,Фриланс,2025-08-28,доход,Консультация
125,7500.0,Техника,2025-08-30,расход,Наушники